,gp,District,variable,value,consis_from,auc
0,test_G,G440104,auc_value,0.6829289000000001,G,test
1,test_G,G440205,auc_value,0.6132684,G,test
2,test_G,G440282,auc_value,0.6169808,G,test
3,test_G,G440305,auc_value,0.6330482,G,test
4,test_G,G440606,auc_value,0.6870822000000001,G,test
5,test_G,G440883,auc_value,0.6159899,G,test
6,test_G,G440981,auc_value,0.6207680000000001,G,test
7,test_G,G441284,auc_value,0.5932854999999999,G,test
8,test_G,G441303,auc_value,0.5941707,G,test
9,test_G,G441424,auc_value,0.5514165999999999,G,test
10,test_G,G441502,auc_value,0.6454241000000002,G,test
11,test_G,G441802,auc_value,0.520047,G,test
12,test_G,G445224,auc_value,0.5886427,G,test
13,test_G,G445302,auc_value,0.5529811999999998,G,test
14,test_G+S,G440104,auc_value,0.6993174999999999,G+S,test
15,test_G+S,G440205,auc_value,0.6115278000000001,G+S,test
16,test_G+S,G440282,auc_value,0.5844945,G+S,test
17,test_G+S,G440305,auc_value,0.5458359,G+S,test
18,test_G+S,G440606,auc_value,0.6686426,G+S,test
19,test_G+S,G440883,auc_value,0.5811218,G+S,test
20,test_G+S,G440981,auc_value,0.622988,G+S,test
21,test_G+S,G441284,auc_value,0.5291389000000001,G+S,test
22,test_G+S,G441303,auc_value,0.6475281,G+S,test
23,test_G+S,G441424,auc_value,0.5578469,G+S,test
24,test_G+S,G441502,auc_value,0.5724489,G+S,test
25,test_G+S,G441802,auc_value,0.5018526999999999,G+S,test
26,test_G+S,G445224,auc_value,0.5650548,G+S,test
27,test_G+S,G445302,auc_value,0.5238023999999999,G+S,test
28,test_S,G440104,auc_value,0.7276374000000001,S,test
29,test_S,G440205,auc_value,0.5973982,S,test
30,test_S,G440282,auc_value,0.5807624,S,test
31,test_S,G440305,auc_value,0.5932995000000001,S,test
32,test_S,G440606,auc_value,0.6167426,S,test
33,test_S,G440883,auc_value,0.5977786999999999,S,test
34,test_S,G440981,auc_value,0.5781677999999999,S,test
35,test_S,G441284,auc_value,0.5964339000000001,S,test
36,test_S,G441303,auc_value,0.5883736999999999,S,test
37,test_S,G441424,auc_value,0.5368128999999999,S,test
38,test_S,G441502,auc_value,0.5884246,S,test
39,test_S,G441802,auc_value,0.5423471999999999,S,test
40,test_S,G445224,auc_value,0.5489558999999999,S,test
41,test_S,G445302,auc_value,0.5582973,S,test
42,test_all,G440104,auc_value,0.6766009,all,test
43,test_all,G440205,auc_value,0.5847684,all,test
44,test_all,G440282,auc_value,0.5665058999999999,all,test
45,test_all,G440305,auc_value,0.6179283999999999,all,test
46,test_all,G440606,auc_value,0.584676,all,test
47,test_all,G440883,auc_value,0.5888047999999999,all,test
48,test_all,G440981,auc_value,0.5902113,all,test
49,test_all,G441284,auc_value,0.5503639999999999,all,test
50,test_all,G441303,auc_value,0.5539695,all,test
51,test_all,G441424,auc_value,0.5384058,all,test
52,test_all,G441502,auc_value,0.6279178,all,test
53,test_all,G441802,auc_value,0.5393222999999999,all,test
54,test_all,G445224,auc_value,0.5742809,all,test
55,test_all,G445302,auc_value,0.5805907,all,test
56,train_G,G440104,auc_value,0.7654137999999999,G,train
