SampleID	Dim1	Dim2	Proba	Cohort
G440606620	-22.283371	-58.673965	0.5991595143146193	GGMP
G445224247	-35.89218	6.018193	0.5263647023254285	GGMP
G440305382	11.5974	-6.2579913	0.44037996480161523	GGMP
G441502202	-25.899944	58.589687	0.44027112734830715	GGMP
G445302201	6.21209	18.19383	0.4977175398019039	GGMP
G440981387	-16.95481	-73.14112	0.5894750728798734	GGMP
G441802105	34.73866	-28.48313	0.45261400688250514	GGMP
G441303488	14.014327	64.455124	0.39052118447574957	GGMP
G441502260	-17.739763	60.212753	0.4378483991750493	GGMP
G441802427	11.095035	63.126457	0.39402920778736467	GGMP
G445224413	-13.187025	-24.264961	0.5009397960376563	GGMP
G445224584	-30.716682	-19.9552	0.5906148058185163	GGMP
G440981179	-23.776146	66.22832	0.43291905479737064	GGMP
G441802079	-0.84965765	66.75568	0.4142559885571393	GGMP
G440104394	11.895908	14.79744	0.5138083118732252	GGMP
G440104124	48.691055	-28.94035	0.5591626519315097	GGMP
G440104323	-46.24051	46.23143	0.4521600140128586	GGMP
G441303194	-12.653486	22.26383	0.4715894630206365	GGMP
G441502353	9.7471695	-43.36084	0.504208798761414	GGMP
G445302540	-22.508564	3.743469	0.5244393719350771	GGMP
G440981341	-48.79687	15.73765	0.5072002452949318	GGMP
G441303459	-21.383402	17.792023	0.4737439811308681	GGMP
G440104346	23.370953	31.602596	0.5070758319911614	GGMP
G440205396	27.58854	36.837254	0.4705204983510559	GGMP
G441284055	-24.818945	5.5159082	0.49034166630052534	GGMP
G440883060	-21.431362	-57.973812	0.6016105167087308	GGMP
G441424223	-42.901466	42.36708	0.4535561239429997	GGMP
G440282309	-52.04342	-2.6419175	0.5535211235480869	GGMP
G441502030	-8.936131	45.27627	0.46178879223672464	GGMP
G441284149	47.029125	-29.726995	0.5495780253245641	GGMP
G441424456	-26.14402	54.795647	0.42764803903996707	GGMP
G445302154	36.577785	-29.341898	0.47681372675398814	GGMP
G441424450	27.650309	-12.953763	0.48664964644677156	GGMP
G445302385	30.967127	43.078983	0.46024500887873115	GGMP
G441802381	12.471865	64.81555	0.39405775716480157	GGMP
G445302065	-23.315727	54.475163	0.4241604936157368	GGMP
G445224578	-38.964863	18.705366	0.5093956359600467	GGMP
G441303443	33.435165	-28.095423	0.44943887884700073	GGMP
G441284526	31.652216	-36.542877	0.5057598905639084	GGMP
G440104113	39.26733	47.078896	0.4130040326553814	GGMP
G441424244	21.11943	50.683018	0.42919225516551246	GGMP
G441802519	33.997707	29.913149	0.4577493960984662	GGMP
G440883136	15.49621	-10.74432	0.41943098437710546	GGMP
G441802269	0.97348255	-0.7969333	0.4511423966258382	GGMP
G441284366	-14.408594	-24.980959	0.5099835954955578	GGMP
G445224582	5.5005927	20.074049	0.4631968320953615	GGMP
G441284047	-23.66499	-40.863266	0.5692914450181121	GGMP
G441802165	17.898335	-10.2922735	0.41937797202506977	GGMP
G440883462	-18.020031	58.60343	0.4452193886524437	GGMP
G440205441	33.704544	35.773384	0.4562478205256307	GGMP
G445302063	11.31394	-9.073492	0.4432131988880311	GGMP
G441303181	44.497307	-39.70849	0.5622143216780985	GGMP
G441802392	-16.40229	48.27431	0.4376031642954257	GGMP
G440104495	-19.781353	3.9734883	0.516485268107975	GGMP
G441424519	-36.590347	11.548589	0.5142074611988098	GGMP
G441502212	-4.206661	-19.957169	0.46709835866955757	GGMP
G440883624	-3.1504178	-14.37009	0.4625384509519543	GGMP
G440981098	31.200518	-0.7237556	0.4995716326986766	GGMP
G441303317	11.944691	60.82964	0.40007808270538486	GGMP
G441502307	-15.118174	59.07353	0.4387114380952254	GGMP
G440282311	27.202143	34.190437	0.47377150206215585	GGMP
G440282385	21.608599	57.890728	0.3993947848294874	GGMP
G440883438	-34.754105	7.4142523	0.5111394007777216	GGMP
G445224065	-37.155746	18.491282	0.49578485751940765	GGMP
G440305116	10.659331	63.624348	0.39622004528696614	GGMP
G440981393	9.483461	-77.46404	0.5913530659428706	GGMP
G440981407	24.557726	-15.516181	0.4541197280575257	GGMP
G441424237	11.325671	62.681774	0.3967837564357405	GGMP
G440282176	16.18705	61.4564	0.3890896590777492	GGMP
G441502259	-3.3779333	-19.815718	0.4666977721935327	GGMP
G441424141	15.08214	57.125336	0.40693330870702543	GGMP
G440981430	13.322234	14.10885	0.5259051281060454	GGMP
G440205629	-39.147415	56.457233	0.4397547842180686	GGMP
G440883024	16.230846	-45.401894	0.5106571797835583	GGMP
G445224047	9.422626	-49.718475	0.5062530738542355	GGMP
G445302274	22.596378	41.93078	0.43136186984996927	GGMP
G441303532	41.521507	-36.606018	0.5297904914958872	GGMP
G441424132	27.966444	37.06984	0.4717024015012215	GGMP
G440282327	24.4699	53.75355	0.4113048899783925	GGMP
G441802562	-2.5409539	-17.534498	0.47216902624821183	GGMP
G445302530	-30.01763	-18.880781	0.5942428545442743	GGMP
G441424119	-32.056973	17.733477	0.48204306517972395	GGMP
G440104374	20.871483	57.047718	0.399540553455262	GGMP
G440981028	-12.329808	-74.87736	0.5396703422955322	GGMP
G440883611	-3.2763693	-5.1809144	0.48542815450586935	GGMP
G445224329	35.35247	31.569479	0.44507430881095283	GGMP
G440883229	32.20767	-27.889439	0.4474350113715363	GGMP
G440104335	-1.3432817	19.226639	0.465023898582766	GGMP
G440205397	8.278031	28.538145	0.4560813378798818	GGMP
G441424154	52.789467	-8.979385	0.5171867448525062	GGMP
G440606120	35.36713	9.215197	0.4908708915656661	GGMP
G440305008	-16.505194	-19.50734	0.52679509656939	GGMP
G440205625	3.733497	47.255783	0.4215592481350786	GGMP
G440883434	-30.68159	17.39375	0.47469161769660867	GGMP
G441284325	15.37837	-7.6055465	0.4187932110003585	GGMP
G445302070	5.4962125	63.737637	0.40720741316639925	GGMP
G441303158	45.061314	-12.200844	0.47371917416461923	GGMP
G440205288	-52.589573	7.1341767	0.5583630785598352	GGMP
G440282511	31.064724	6.9229255	0.5171737012653528	GGMP
G441303036	45.756535	-39.95183	0.5742867208029331	GGMP
G441303512	-25.761929	-16.77667	0.569613858614971	GGMP
G445302356	40.81102	-35.73526	0.5215716965301805	GGMP
G440305312	20.300377	49.291553	0.4259090833440035	GGMP
G440981137	29.1938	-29.735914	0.46113345179380943	GGMP
G441424177	5.6523685	66.9828	0.41240949669110705	GGMP
G441284282	-48.183468	-1.024791	0.5585130419572667	GGMP
G441284651	36.57998	33.593822	0.4363965185384064	GGMP
G445302226	-26.80344	58.46193	0.4440723412006166	GGMP
G441424249	11.850026	-44.887207	0.49348543291733726	GGMP
G440883236	-23.816849	-68.28279	0.6314916540979816	GGMP
G440104427	27.951555	-38.425583	0.5072758612205316	GGMP
