SampleID	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus
DF-TMF10-15039	0.070526876	0.024025103	-0.0037505368	-0.042027194	0.0597918	-0.022342127	0.045351066
DF-TMF10-BQ1418	-0.040821414	0.062607124	0.05422071	0.06965518	0.071155675	0.12497626	-0.007035812
DF-TMF10-CY3434	0.019812113	-0.08068302	-0.04404047	0.01356739	-0.0529173	0.17362474	0.031828858
DF-TMF10-BQ2518	-0.016886387	-0.023896264	-0.0469818	-0.055527326	-0.06112637	0.17840631	-0.034452017
DF-TMF10-15086	0.08132574	0.016107801	-0.04686981	0.07220623	0.07316289	-0.1305642	0.043575913
DF-TMF10-15100	-0.040277448	0.0027251071	0.012788918	0.047229506	0.06676207	0.12317534	-0.000610451
DF-TMF10-15053	0.07884907	-0.05641648	-0.027160997	0.014989573	-0.030779617	-0.12829407	0.012865703
DF-TMF10-CQ3635	-0.04398096	-0.06568268	-0.040010475	-0.040151868	-0.030979592	-0.11781417	0.0465397
DF-TMF10-BY1918	-0.06129835	0.018447226	0.013389055	0.07225617	-0.016132593	-0.12164031	0.036236897
DF-TMF10-15088	0.016982922	-0.07705362	-0.041987576	-0.017324636	-0.05531996	-0.022799548	0.037439533
DF-TMF10-BQ5818	-0.04199293	-0.0781599	-0.04358425	-0.040525604	0.014085807	0.18297327	-0.0045338585
DF-TMF10-15090	0.011879294	0.061480474	-0.041908152	0.069431834	0.06726261	-0.12925723	-0.017805342
DF-TMF15-CQ6034	0.066779494	-0.07764018	0.051628012	0.014215364	-0.057473864	0.17952505	-0.05358263
DF-TMF10-BQ4018	-0.046153042	0.050560985	0.04753426	0.04560042	0.07310516	0.12312131	-0.052766602
DF-TMF10-CY5034	-0.014983921	0.018574685	-0.040940482	-0.03968695	-0.054371484	-0.120153666	0.0074312934
DF-TMF10-AY5501	-0.06470545	-0.011053786	-0.04711839	0.04696921	0.034246724	0.055300828	-0.019962454
DF-TMF10-CY6034	0.06895195	-0.079510935	0.05163618	-0.054845057	-0.058675144	0.1775966	-0.052215166
DF-TMF10-15029	-0.022465369	0.017459806	-0.041698024	0.045928076	-0.057701714	-0.12140657	-0.03572518
DF-TMF10-CQ1535	-0.043973263	-0.06924938	-0.042018544	0.06817487	0.012665916	-0.119195886	0.032555733
DF-TMF10-CY5433	-0.041295145	-0.058071997	-0.04065269	-0.040504433	-0.046930518	0.051870774	-0.0005863766
DF-TMF10-BQ3618	-0.04562151	-0.029174203	-0.039217487	0.041880097	-0.008596007	0.16367719	0.03944773
DF-TMF15-CQ2235	0.078521006	-0.013071775	0.049351256	0.07320908	0.07390191	-0.1311958	0.038706813
DF-TMF10-AY3801	0.043546088	0.026945692	-0.043577977	-0.05611418	0.022969928	0.18196942	-0.017650984
DF-TMF10-15004	-0.016128138	-0.02630662	-0.040536877	0.06892289	0.054887354	-0.12406216	0.044307824
DF-TMF10-CQ1734	-0.04200648	-0.07628057	0.045572873	-0.10371263	0.0699478	0.18021777	-0.04940094
DF-TMF10-CY1535	-0.062411427	-0.063215174	0.042094115	0.068384096	0.013190107	-0.1197949	0.005290265
DF-TMF10-AY1501	0.041634534	-0.07879774	-0.011792919	-0.10661926	0.07040319	0.18355086	-0.052025866
DF-TMF10-BY5918	-0.070041485	-0.06109644	-0.042572275	0.068707064	-0.055285484	0.05213605	-0.03637956
DF-TMF10-BY3618	-0.04243125	-0.066425964	-0.04497251	0.06918327	-0.050073005	0.1745328	0.044878706
DF-TMF10-CY4636	-0.04472891	0.048109163	0.044072155	-0.05624718	-0.054063525	0.11915428	-0.019692719
DF-TMF10-15047	0.07015698	0.05974689	-0.047957536	0.07004663	0.048568223	-0.12885989	0.045271818
DF-TMF10-CY1634	0.021385338	-0.028868904	-0.039374117	-0.041338947	0.051476244	0.17373791	0.046388403
DF-TMF10-24581	-0.03443395	0.059220698	0.05016889	0.07256922	0.0728971	0.0622118	0.04447228
DF-TMF10-CY1234	0.07454584	0.06159035	0.053398944	0.070670046	0.07192096	0.17205033	0.04291195
DF-TMF10-CY3534	-0.056730464	-0.080547385	0.007125605	-0.019685196	-0.056324888	-0.024092814	-0.051444225
DF-TMF10-AQ5201	0.016963203	0.0036973453	-0.045679852	-0.039706923	0.0096442485	0.17877907	-0.012752687
DF-TMF10-AY5201	0.008506406	0.0039552557	-0.043974128	0.011861978	-0.057366718	0.17485839	0.03309238
DF-TMF10-BY1618	-0.018031865	-0.08171898	-0.044374365	0.06945246	0.06780137	0.18530914	-0.05335669
DF-TMF10-BY4318	-0.033669986	-0.086452745	-0.043794014	0.046938833	0.050685413	0.17767765	0.013596951
