SampleID	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus
G440606620	0.083320834	0.052154128	-0.0019586147	0.056056026	0.07482215	0.122250564	0.015319241
G445224247	0.08412304	0.042001024	-0.029270686	0.07515544	0.013088206	-0.113361776	0.033821467
G440305382	-0.023228344	0.026800327	-0.04720586	-0.08324927	-0.058960386	-0.020976184	-0.032800425
G441502202	-0.040651966	-0.05931144	-0.03657879	0.05428136	-0.055043217	-0.105982415	0.00322468
G445302201	0.07565763	0.016737038	0.05717378	-0.066282764	-0.0155630335	-0.11678356	0.039931014
G440981387	0.08637826	-0.06814158	0.052421127	0.072494686	0.030732425	0.15019107	0.03771977
G441802105	-0.070416644	0.0039410056	-0.04338051	-0.0972724	-0.056549452	0.11789733	-0.044333853
G441303488	-0.057226676	-0.06226186	-0.029429385	-0.09486022	-0.05365717	-0.10585703	-0.04182962
G441502260	-0.042911805	-0.060962673	-0.038444646	0.051633395	-0.021115065	-0.10632006	-0.031777993
G441802427	-0.04203027	-0.04970724	-0.04034523	-0.0997199	-0.053782586	-0.10637718	-0.03844434
G445224413	-0.062353466	-0.05425504	0.023904	0.07066015	0.056553926	-0.016545879	-0.014204506
G445224584	0.090895206	0.056838118	0.046151847	0.076184556	0.076275505	-0.019862276	0.04002458
G440981179	-0.0617946	-0.050374918	-0.046416923	0.07064026	-0.032086715	-0.1082435	-0.04167488
G441802079	-0.038584664	-0.0565768	-0.0393225	-0.01063061	-0.052025516	-0.10098833	-0.04827032
G440104394	0.09039599	0.05729173	0.06109422	-0.10762328	0.073005535	-0.122340225	0.0034233134
G440104124	-0.04327073	0.054258063	0.05221767	-0.1073384	0.078923136	0.19112869	0.01184599
G440104323	-0.044387702	0.037634794	-0.04532172	0.068765074	-0.055343606	-0.1096976	-0.043596353
G441303194	0.023754664	0.013203518	-0.032245792	-0.012458983	-0.03297653	-0.111753404	0.03871185
G441502353	-0.011159483	-0.06590887	-0.04239452	0.051104136	-0.059152763	0.17722207	-0.03287498
G445302540	0.08948122	-0.058277834	0.022570305	0.073940575	0.07625436	-0.11239109	0.006257927
G440981341	0.023582876	0.018511562	0.017929662	0.07296157	0.044559643	-0.116192766	-0.03254957
G441303459	0.035051014	-0.024232527	-0.041080944	0.06880198	-0.056696896	-0.10822401	0.02126061
G440104346	0.018983336	0.055532023	0.0514723	-0.09445064	0.075557515	-0.12046254	0.04167323
G440205396	-0.048465308	0.053295545	0.028595494	-0.10368916	0.07324817	-0.11210847	-0.0089312075
G441284055	0.08218029	-0.06176505	0.0037609052	0.071095854	0.02469549	-0.10760629	-0.05099934
G440883060	0.088653564	0.039612044	-0.023635313	0.054867316	0.076505266	0.14672315	0.029454125
G441424223	-0.026795886	0.01610967	-0.037836038	0.06812513	-0.05505685	-0.10534765	-0.045510966
G440282309	0.093815975	0.017494766	0.0591249	0.053663705	0.07615904	-0.11596626	0.030615713
G441502030	-0.048938707	0.04160616	0.009358722	-0.014682953	-0.058594175	-0.113018	0.031125516
G441284149	-0.07329112	0.05569996	0.045238987	-0.05663989	0.07437066	0.1834128	-0.029825509
G441424456	-0.07072194	-0.06516105	-0.045653142	0.017047277	-0.055058215	-0.111060396	0.03915388
G445302154	-0.054740805	0.051192127	-0.040454205	-0.09756686	-0.040155344	0.12365518	-0.034741756
G441424450	-0.04555168	0.05278988	-0.029195499	-0.10658317	-0.02016745	0.0564985	0.03879532
G445302385	-0.010340127	0.050822094	-0.033239357	-0.10258591	0.06474538	-0.114174254	-0.014584171
G441802381	-0.044528075	-0.058887977	-0.027232086	-0.10141734	-0.04543032	-0.10757384	-0.045217536
G445302065	-0.042543326	-0.060937796	-0.037155174	-0.014305044	-0.054612335	-0.10641204	0.010248618
G445224578	0.07305204	0.052062158	0.05072089	0.07330762	-0.05208072	-0.11082776	-0.04864726
G441303443	-0.05813138	-0.021076776	-0.050934143	-0.08864995	-0.056011222	0.11633191	-0.044466518
G441284526	-0.04502134	-0.010621276	-0.028445616	-0.012017242	-0.05131197	0.130279	0.040179033
G440104113	-0.04420048	-0.06338541	-0.04119664	-0.10544694	0.053529825	-0.107989796	-0.04287116
G441424244	-0.07533857	-0.047030278	0.056728385	-0.10584032	-0.034866177	-0.117386244	0.038585734
G441802519	-0.045444563	-0.06695086	0.054812387	-0.10379684	0.060325276	-0.105634026	0.03728221
G440883136	-0.056606244	-0.054165296	-0.04113608	-0.06440146	-0.044038996	-0.020776467	-0.043985132
G441802269	0.08610619	-0.026639331	-0.03935248	-0.09479148	-0.054809842	-0.019869946	-0.046699107
G441284366	-0.07116071	-0.06530229	0.059291128	0.06967073	0.03307063	-0.015345032	0.02971524
G445224582	0.057042275	-0.009330592	0.04712095	-0.107498676	-0.05825681	-0.11414928	0.03759272
G441284047	0.085364714	0.055148903	-0.051659457	0.018508764	0.07553114	0.057053268	0.03901354
G441802165	-0.022464426	-0.048110243	-0.036257897	-0.09601395	-0.053757295	-0.02173428	-0.046989307
G440883462	-0.064539604	-0.0641195	-0.038440906	0.07149148	-0.004775488	-0.1054125	-0.014209061
G440205441	-0.045902424	-0.01166512	0.05848272	-0.10118919	0.07345281	-0.11021034	-0.038425926
G445302063	-0.069803596	0.024836257	-0.04186354	-0.03724906	-0.034138978	-0.021618638	-0.048293937
G441303181	0.077453576	0.056141783	0.053166557	-0.103349805	-0.05815412	0.1858621	0.039033577
G441802392	-0.044810798	-0.065197825	0.042232692	0.020064019	-0.04655539	-0.111337036	-0.04529089
G440104495	0.08464715	-0.07212339	0.05501686	0.022628522	0.049865946	-0.114713624	0.040643517
G441424519	0.09088127	0.04179494	-0.013418488	0.07004736	-0.060185995	-0.11265503	0.040381078
G441502212	-0.040590156	-0.05381399	-0.041161645	0.046708595	-0.05759225	-0.019840257	0.034492686
G440883624	-0.050179765	0.01773921	-0.03893192	0.05064414	-0.05754326	-0.021789366	-0.050066575
G440981098	-0.044841323	-0.009862392	0.031827845	-0.039726306	0.07151297	-0.020298036	0.009673776
G441303317	-0.039199937	-0.058806352	-0.03632132	-0.09293344	-0.026065888	-0.106922224	-0.04489062
G441502307	-0.03800136	-0.05748169	-0.035574034	0.02016969	0.013468414	-0.10363085	-0.04534343
G440282311	-0.06757314	0.016337274	0.057763867	-0.08023759	0.07147097	-0.11358673	0.010814967
G440282385	-0.04484066	-0.0653052	-0.010439614	-0.10348137	-0.04198077	-0.10582727	-0.03611259
G440883438	0.09121041	0.05494939	-0.042398434	0.020886777	-0.004913633	-0.111133404	0.035963878
G445224065	0.06997037	0.04436955	0.007492463	0.052929204	-0.05787365	-0.10709086	-0.026658036
G440305116	-0.03925998	-0.051304087	-0.03662641	-0.095921084	-0.05268463	-0.10288265	-0.042561237
G440981393	-0.051123768	0.05779681	0.047809813	0.02106309	0.07466855	0.18144774	0.037899457
G440981407	-0.040821213	-0.01226705	-0.041253313	-0.099300966	-0.017181557	0.05325864	-0.026473332
G441424237	-0.045753	-0.047045313	-0.034515947	-0.09347611	-0.049261935	-0.10464446	-0.04418757
G440282176	-0.07023848	-0.060734622	-0.035954468	-0.10238558	-0.05360009	-0.10288566	-0.025341466
G441502259	-0.04443674	-0.051808566	-0.04265895	0.07272965	-0.05603898	-0.020507319	0.009314486
G441424141	-0.043532502	-0.04107535	-0.043496	-0.09851494	-0.04837865	-0.10514763	0.0034875334
G440981430	0.07905784	0.05444348	0.056815818	-0.08051199	0.074414544	-0.11142996	0.030923653
G440205629	-0.048127238	-0.025634916	-0.038398564	0.07022386	-0.052695174	-0.10328101	-0.044244256
G440883024	-0.04604462	0.0042423685	-0.038709577	0.048208702	-0.044489857	0.15466258	-0.035234418
G445224047	-0.059147857	-0.057548996	-0.040368054	0.04912844	-0.056248207	0.17292184	0.016276423
G445302274	-0.080697484	0.052705627	0.030575221	-0.10388975	-0.016995253	-0.112745434	-0.045249846
G441303532	-0.009942737	0.06119712	0.05388723	-0.094365	-0.050184082	0.124970496	0.033740256
G441424132	-0.058442116	0.049736656	0.054560453	-0.10354928	0.07242243	-0.109972864	-0.018066756
G440282327	-0.069171585	-0.0648182	0.055338774	-0.10561928	-0.022139551	-0.11139231	-0.040771484
G441802562	-0.041367102	-0.011063424	-0.04091588	0.04726681	0.0031630618	-0.020155288	-0.04836726
G445302530	0.089269735	0.054041374	0.061936364	0.07682677	0.07573193	-0.020324716	0.0440518
G441424119	0.07702263	0.035292044	-0.041186303	0.066876665	-0.058078177	-0.10596094	-0.045824554
G440104374	-0.06021998	-0.066303074	0.0015338053	-0.10735385	-0.044902634	-0.11340375	-0.01673034
G440981028	0.025702571	-0.066207916	-0.045183726	0.023648402	0.07460818	0.17803513	-0.03158704
G440883611	0.07338428	-0.057709277	-0.03870336	0.04813297	-0.054402445	-0.020333566	-0.008672496
G445224329	-0.060784426	-0.044601124	0.040955365	-0.106543824	0.0647079	-0.11369897	-0.00062787114
G440883229	-0.04111936	-0.04327283	-0.04140141	-0.100567125	-0.053775374	0.116550654	-0.047454298
G440104335	0.096255474	0.029354217	-0.036554653	-0.10158597	-0.056459673	-0.1112438	0.040101122
G440205397	0.07651242	-0.06330504	-0.0438989	-0.03662889	0.051119108	-0.11426742	-0.04565982
G441424154	-0.044809658	-0.06427507	0.05709043	-0.10375501	0.024513617	0.16456299	0.03544678
G440606120	0.08620051	-0.07233755	-0.03401965	-0.10879147	0.0742808	-0.020577056	0.03872392
G440305008	-0.04983274	0.05835828	0.0021143227	0.05147222	0.052804127	-0.015465465	0.007832425
G440205625	-0.013647731	0.050165426	-0.043919384	-0.105400756	-0.052595273	-0.10492129	-0.046056774
G440883434	0.082384676	0.016109483	-0.04120639	0.04849681	-0.05627187	-0.101291545	-0.04954128
G441284325	-0.067941874	-0.020895226	-0.020355681	-0.10473863	-0.053105332	-0.018367466	-0.042325146
G445302070	-0.022587452	-0.049515005	-0.039247137	-0.065014414	-0.04424594	-0.1056725	-0.049239464
G441303158	-0.042196885	-0.06352919	-0.04717302	-0.1016504	0.07368288	0.11371709	-0.03807073
G440205288	0.053600643	0.041696467	0.061932232	0.078532614	0.074686795	-0.11702888	0.041101445
G440282511	0.063577384	-0.07158932	0.059398614	-0.10925193	0.07293639	0.05585293	-0.0022022335
G441303036	0.091260076	0.059714608	0.05461578	-0.098131016	0.004254645	0.1465099	0.041138705
G441303512	0.09428278	0.05640408	0.049945205	0.07432427	-0.016482605	-0.016258374	0.038060486
G445302356	-0.06870158	0.054659083	0.05971419	-0.10262465	-0.039251223	0.14127761	0.04126695
G440305312	-0.07106226	-0.018105574	0.030103227	-0.08575101	-0.05515077	-0.11627683	0.01768137
G440981137	-0.067579895	-0.06316594	-0.03989988	-0.09158485	-0.025004163	0.17768173	-0.046227463
G441424177	-0.040005356	-0.061913196	-0.012220058	-0.064647004	-0.029396832	-0.10458358	-0.041247472
G441284282	0.09076493	0.060213458	0.058788814	0.051155247	0.055695374	-0.11788286	0.03639454
G441284651	-0.054800738	-0.06536695	0.05646669	-0.104421265	0.072988965	-0.118374154	-0.042292245
G445302226	-0.04583382	-0.061500505	-0.03862945	0.070059374	-0.05555185	-0.103684545	0.010490099
G441424249	-0.043688077	-0.057766642	-0.037786674	0.047844987	-0.05926952	0.17091484	-0.046308663
G440883236	0.07960042	0.03185734	0.051288404	0.070564725	0.07656117	0.18949954	0.03924978
G440104427	-0.060855657	0.05049913	-0.046515316	-0.014657309	-0.035357866	0.18378672	-0.047794208
G440981379	-0.05208935	0.0050912364	-0.042993706	0.047903076	-0.042634603	-0.10338995	-0.04308186
G440282156	-0.024393398	0.03818348	-0.039031006	0.047236737	-0.057102546	-0.116341725	0.037836093
G445302391	0.08048425	-0.05185256	-0.04516377	-0.10057201	0.07473824	0.17420667	-0.02102256
G441284501	-0.04587108	0.0058469144	-0.027902676	0.073322095	-0.05863795	-0.11111462	0.039985966
G441802178	-0.067910194	-0.0073320004	-0.040736265	0.06646478	-0.056204893	-0.102214694	-0.047234554
G441303184	-0.060091183	-0.065381244	-0.03666752	0.07132909	0.075119525	-0.12057576	0.008620761
G440981075	0.0825964	0.05498392	0.05638603	-0.10377016	0.072502226	-0.02928826	-0.043476667
G440981246	-0.041742757	-0.053084146	-0.006803088	0.07267097	0.06737515	-0.10586748	-0.027022008
G441802504	0.09104661	0.053569134	-0.04393072	-0.09901961	-0.034382407	-0.109523706	0.00147109
G440981304	-0.04899548	0.05151875	0.043454632	0.014903756	-0.042898785	-0.114384875	0.03542116
G440981514	-0.040578038	0.047335844	0.038649257	0.04703411	-0.051093686	0.13542284	-0.048465393
G445224237	-0.061824072	-0.011231688	0.017044516	0.074032225	-0.027204098	-0.12074351	0.029215151
G441284115	-0.069572136	-0.065384634	0.04516651	-0.011180907	-0.04944683	-0.10861492	0.027697686
G440104451	0.03625038	-0.062984854	-0.045560658	0.048684046	-0.059700083	-0.01579747	-0.03395038
G445302434	-0.04275393	-0.051532123	-0.04427943	0.048628148	-0.049125146	-0.10618616	-0.013189905
G440305434	-0.061102923	-0.01318281	-0.04913275	0.071113095	-0.043399878	-0.10767701	-0.04680443
G440981229	-0.07398455	-0.017088845	-0.02774995	0.07572153	0.061843306	-0.11154863	0.010708265
G440282487	0.0865787	-0.07189081	0.042823292	-0.097516574	0.07295045	-0.01902236	-0.032395445
G440205650	-0.042195532	-0.028576458	-0.040898047	0.0686529	-0.05766037	-0.016623348	-0.047158875
G441424001	-0.06297202	0.050416272	-0.03659144	-0.036683656	0.06491051	0.050118536	-0.048065983
G445224230	0.092919365	0.037280694	-0.042691365	0.07201724	-0.054067645	-0.10698003	0.00874583
G441303369	-0.062700056	-0.067450136	0.055929855	-0.10532337	-0.04540453	-0.10937225	0.0012810712
G441424572	-0.04010264	-0.05983894	-0.0395112	0.020230832	-0.05542425	0.12733085	-0.044578455
G445302093	-0.052618716	0.055452995	0.056775615	-0.07357943	0.072449006	-0.114280924	0.036910508
G440104593	-0.015485669	0.047026455	-0.04109942	-0.09963113	-0.056327984	-0.02176773	-0.04410774
G441424578	0.07858272	0.045740325	-0.037632946	0.049354754	-0.05654684	-0.1015163	-0.038975444
G441284029	0.07702918	0.056999087	0.058272157	-0.10194687	0.07479965	0.19094902	0.03598106
G445302445	-0.06329227	0.046870682	0.056003	0.04797439	-0.046173453	-0.1155359	0.033390842
G440282521	-0.058821775	-0.056195833	-0.048592016	0.04770228	-0.05816288	-0.016163334	0.037750825
G440883374	0.085382484	-0.015953569	-0.050803676	0.073539294	0.0767097	-0.11305853	0.011025786
