Feature	T2DM_combined	T2DM_SGMP	T2DM_GGMP
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__"	0.7932929999999999	0.017	0.43534983306720865
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus"	0.6284590000000001	0.9165199999999999	0.5203676150384672
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Shigella"	0.5593699999999999	0.783632	0.03463855421686747
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas"	0.5168769999999999	0.7751250000000001	0.31960598417767455
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium"	0.5069810000000002	0.725669	0.6614348962113515
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia"	0.4714139999999999	0.579491	0.3857168130352736
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	0.467568	0.12658900000000006	0.46988405428944685
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella"	0.4620640000000001	0.6936010000000001	0.26735329873711716
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira"	0.4570809999999999	0.7781490000000002	0.511778287850196
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella"	0.45190600000000014	0.5365009999999999	0.26359504282189
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium"	0.4402300000000001	0.20266399999999996	0.366662432863986
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__"	0.43643099999999985	0.8649940000000003	0.46234486137320374
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia"	0.43352600000000013	0.6201739999999999	0.39210607490201776
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__"	0.43334500000000015	0.49547399999999997	0.49565203585426043
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides"	0.4223380000000001	0.7890479999999999	0.41084972419799687
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium"	0.4137910000000002	0.617813	0.36294500290317894
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister"	0.39896899999999996	0.6219389999999998	0.377608324865728
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus"	0.3937379999999999	0.8922840000000001	0.2876596748439542
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera"	0.3748770000000001	0.5110870000000002	0.45611890332413985
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ Odoribacteraceae ;g__Butyricimonas"	0.3656850000000001	0.628934	0.36628365873131075
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium"	0.3654340000000001	0.7356659999999998	0.18238768326317317
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus"	0.36376100000000006	0.5383590000000001	0.38156617433589785
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira"	0.3618289999999999	0.9495889999999997	0.4054516257802293
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea"	0.3598339999999998	0.552109	0.3730857163594135
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	0.332272	0.9495089999999998	0.3668143961387719
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes"	0.330549	0.4842900000000001	0.3103316881985774
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella"	0.33026099999999997	0.8087859999999997	0.2997872514152997
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes"	0.3265559999999999	0.6342610000000002	0.4906032261576425
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia"	0.31878100000000004	0.376449	0.34917077950355635
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ Ruminococcus "	0.295153	0.5381160000000001	0.3088143235592975
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter"	0.28761800000000004	0.7000899999999999	0.3142577841486427
