SampleID	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus
sam-570	-0.053547427	-0.017308598	-0.042371474	0.0701917	-0.05245297	0.173712	-0.019156225
sam-477	0.060270634	0.054166943	0.047149338	0.07239134	0.012347867	0.17766026	0.039647862
JN-MF2-15520	-0.042962	-0.03192333	0.001115068	0.047551524	0.011649957	0.12087089	-0.053448834
JN-MF2-15218	0.08105855	0.062625185	0.053881828	0.07425767	0.04891184	-0.022271177	0.044681218
JN-TMF2-SD0168	-0.008288111	-0.01197517	-0.010651219	-0.0433555	-0.032452863	-0.12445144	0.04463391
sam-792	0.039051265	0.040116448	0.053092632	0.047980253	-0.021814639	-0.023803908	0.045355063
sam-596	-0.06362799	-0.029731343	-0.04567821	0.068380885	-0.050225273	-0.1247802	0.04417357
sam-609	-0.044552952	0.06299427	0.008847711	-0.04388901	-0.05415083	-0.1303549	0.04563731
sam-842	0.037346084	0.059627797	-0.012954632	0.072557785	-0.057155754	-0.024935637	-0.039653286
JN-MF7-SD0117	0.04746602	0.058341585	0.050754227	0.07281841	-0.061747205	0.17336561	0.043470155
sam-38	-0.06758278	0.05513605	0.048033625	0.07355012	0.012687347	0.16569316	0.018647604
sam-619	-0.052125175	0.06282878	0.05366614	0.0696777	0.06681709	-0.12949301	0.038840394
JN-TMF13-SD0230	-0.00186952	-0.06993773	-0.02942059	-0.09839808	-0.05784542	0.17317617	-0.019534478
JN-MF2-15458	0.07949002	0.06096042	0.055132605	0.07295804	0.0738881	-0.12932394	0.042642716
sam-536	0.071029484	0.062545806	0.01003304	0.07341858	-0.0353375	0.17986351	0.045870356
sam-451	-0.04407977	0.06323885	-0.04450759	0.071106106	0.023882337	0.06134063	0.04556005
JN-MF2-SD0055	0.04383261	0.038798325	-0.044994436	0.04555607	-0.06160696	0.17927468	0.044461798
JN-MF2-15577	0.019749084	0.0033276104	-0.017252157	0.07200053	-0.0604048	0.18177475	0.044247385
