Feature	T2DM_combined	T2DM_SGMP	T2DM_GGMP
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter"	FALSE	FALSE	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium"	FALSE	FALSE	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	TRUE	TRUE	TRUE
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium"	FALSE	FALSE	FALSE
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella"	TRUE	TRUE	FALSE
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella"	FALSE	FALSE	FALSE
"k__Bacteria;p__Bacteroidetes;c__ Saprospirae ;o__ Saprospirales ;f__Chitinophagaceae;g__"	FALSE	FALSE	FALSE
"k__Bacteria;p__Bacteroidetes;c__ Saprospirae ;o__ Saprospirales ;f__Chitinophagaceae;g__Sediminibacterium"	FALSE	FALSE	FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ Barnesiellaceae ;g__"	FALSE	FALSE	TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ Barnesiellaceae ;g__Barnesiella"	FALSE	TRUE	FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ Odoribacteraceae ;g__Butyricimonas"	FALSE	TRUE	TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ Odoribacteraceae ;g__Odoribacter"	FALSE	FALSE	TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ Paraprevotellaceae ;g__"	FALSE	TRUE	FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ Paraprevotellaceae ;g__ Prevotella "	FALSE	TRUE	FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	FALSE	TRUE	TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides"	TRUE	TRUE	FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas"	FALSE	FALSE	FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	FALSE	TRUE	FALSE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__"	FALSE	FALSE	TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__"	FALSE	TRUE	FALSE
"k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__"	FALSE	TRUE	FALSE
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__"	FALSE	FALSE	FALSE
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus"	TRUE	TRUE	TRUE
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus"	FALSE	TRUE	FALSE
